source_row_id,source_subject_id,corridor,source_name,source_status,source_function,priority,fingerprint_id,sha256
S100-PORT-001,ct.source.s100.port.001,"Holding, Governance & IP",CrownThrive Holdings,Proposed,"Portfolio ownership, governance, capital allocation, and stewardship.",P0,ctfp:v1:sha256:c07464bf74e197ffd2100185422cebb4f3579e3b64f1b549e50e23527176c780,c07464bf74e197ffd2100185422cebb4f3579e3b64f1b549e50e23527176c780
S100-PORT-002,ct.source.s100.port.002,"Holding, Governance & IP",CrownThrive,Active / Revamp,Operating ecosystem and hybrid incubator.,P0,ctfp:v1:sha256:07df8f133dff64ec4f423ff7f7484cca9bec8e9b5a8c8c7e4a68ace9ffdb410a,07df8f133dff64ec4f423ff7f7484cca9bec8e9b5a8c8c7e4a68ace9ffdb410a
S100-PORT-003,ct.source.s100.port.003,"Holding, Governance & IP",CHLOM,Build,"Rights, provenance, permissions, licensing, audit, and enforcement.",P0,ctfp:v1:sha256:b4a283b3037d43f27ffce689e7239dea41bb7b3b10f1720acb53485cd74fe48b,b4a283b3037d43f27ffce689e7239dea41bb7b3b10f1720acb53485cd74fe48b
S100-PORT-004,ct.source.s100.port.004,"Holding, Governance & IP",CHLOMLex,Build,"Brand, domain, IP sale/lease/license marketplace.",P1,ctfp:v1:sha256:f1d4fc821adedc0504f7db16d9f717bb584a6e20eded2213c20a261a8b96059c,f1d4fc821adedc0504f7db16d9f717bb584a6e20eded2213c20a261a8b96059c
S100-PORT-005,ct.source.s100.port.005,"Holding, Governance & IP",CII / ThriveFund,Active / Revamp,"Impact governance, capital allocation, proof, and reinvestment.",P1,ctfp:v1:sha256:c3cbc8ae11bd2a54db2b75890a0391b8511826e05690c050220e1a14c733d77b,c3cbc8ae11bd2a54db2b75890a0391b8511826e05690c050220e1a14c733d77b
S100-PORT-006,ct.source.s100.port.006,Technology & Operating Spine,CrownThrive ID,Plan,"Canonical SSO, roles, identity, and permissions.",P0,ctfp:v1:sha256:4afee82ef0b4aa9b7f05fda630d1cf89b2a6784a3a6942423d119c2820b125af,4afee82ef0b4aa9b7f05fda630d1cf89b2a6784a3a6942423d119c2820b125af
S100-PORT-007,ct.source.s100.port.007,Technology & Operating Spine,CrownThrive IO / MCP,Active / Expand,"API gateway, link/QR/static-site infrastructure, and ecosystem interoperability.",P0,ctfp:v1:sha256:c6c0c9a7087cce2f6e25aa31baec05d6496bd9efac3fd10f82c0aea75a68b8bb,c6c0c9a7087cce2f6e25aa31baec05d6496bd9efac3fd10f82c0aea75a68b8bb
S100-PORT-008,ct.source.s100.port.008,Technology & Operating Spine,OpsOasis,Active / Revamp,"Internal operations, client delivery, and fulfillment.",P0,ctfp:v1:sha256:3f3fbcbce97120d10162ba5eda007ba31668585680af5b0f74a7d09f0e980434,3f3fbcbce97120d10162ba5eda007ba31668585680af5b0f74a7d09f0e980434
S100-PORT-009,ct.source.s100.port.009,Technology & Operating Spine,Collab Portal,Active / Revamp,"Ecosystem collaboration, approvals, signatures, and controlled execution.",P0,ctfp:v1:sha256:e29853dd65077ae38dde8747d61a1e85cae8cfa3a2bef0f8d36fa46615963498,e29853dd65077ae38dde8747d61a1e85cae8cfa3a2bef0f8d36fa46615963498
S100-PORT-010,ct.source.s100.port.010,Technology & Operating Spine,CrownThrive Support,Build,"Help center, knowledge base, tickets, live chat, and AI triage.",P0,ctfp:v1:sha256:aaf34d04e6ba4fb126a5e976439f241fe4212b67b6d0af5c61a5ba32efffa0f6,aaf34d04e6ba4fb126a5e976439f241fe4212b67b6d0af5c61a5ba32efffa0f6
